RANK,NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
161,Rajon Rondo,Nor,PG,31,9,33.6,70,18.8,0.252,14,0.643,73,0.411,19,0.421,0.457,0.474,10.3,7.6,12.1,12.2,48.3,1.44,0.22,3.67,11.7,100.5,102.9
162,Raul Neto,Uta,PG,25,8,9,18.8,18.2,0.137,5,1,16,0.313,7,0.286,0.348,0.417,2.6,1.3,7.8,1.3,19.9,0.25,0,0.5,7.3,88.4,100.9
163,Raymond Felton,Okc,PG,33,6,13.1,27.3,20.1,0.136,2,0,17,0.294,14,0.5,0.5,0.486,5.2,2.2,9.1,1.5,17.1,0.67,0.33,0.83,7.9,95.9,102
164,Richaun Holmes,Phi,PF,24,3,3.6,7.6,3.9,0,0,0,1,0,0,0,0,0,0,0.3,4.9,0.3,10.9,0,0,0,0,,
165,Ricky Rubio,Uta,PG,27,6,30.1,62.7,26.6,0.168,23,0.783,47,0.383,32,0.313,0.418,0.471,14,7.3,13.7,7,36.4,1.33,0.5,3,11.9,94,99.8
166,Robert Covington,Phi,SF,27,10,28.1,58.6,15.2,0.11,16,0.75,34,0.353,48,0.313,0.421,0.455,8.1,5.2,9.9,2.5,11.9,1.1,0.9,1.1,6.7,94.7,97.8
167,Rodney Hood,Cle,SG,25,17,15.3,31.8,19,0.118,12,0.75,68,0.515,24,0.167,0.446,0.468,5.4,1.8,6.8,1.1,10.3,0.29,0.29,0.76,5.8,80.9,102.7
168,Rodney McGruder,Mia,SG,26,4,4,8.4,11.1,0,0,0,2,0.5,2,0,0.25,0.25,0.5,1,13.9,0,0,0,0,0,0,53.6,96.1
169,Royce O'Neale,Uta,SF,24,11,23.6,49.1,13.9,0.199,19,0.632,28,0.643,28,0.357,0.589,0.606,7.1,3.5,8.3,1.4,8.4,0.91,0.36,1.45,5.5,97.9,97.5
170,Rudy Gay,San,SF,31,5,31.9,66.5,21,0.08,9,0.556,47,0.468,18,0.222,0.431,0.442,12.2,5.6,9.7,2.2,10.7,1.6,0.2,1.2,6.7,93.2,104.2
171,Rudy Gobert,Uta,C,25,11,34.8,72.6,15.3,0.161,58,0.603,84,0.655,0,0,0.655,0.662,13.2,10.7,17.4,1,4.4,0.91,2.27,1.91,6,119.9,99.6
172,Russell Westbrook,Okc,PG,29,6,39.3,81.8,38.2,0.148,40,0.825,119,0.412,42,0.357,0.444,0.493,29.3,12,16.9,7.5,34.8,1.5,0,5.17,14.1,97.9,99
173,Ryan Anderson,Hou,PF,29,11,8.7,18,10.7,0.13,0,0,5,0.4,15,0.333,0.475,0.475,1.7,1.2,7.7,0.5,8.7,0.27,0.09,0.27,4.6,92.9,101.2
174,Semi Ojeleye,Bos,PF,23,17,13.5,28.2,7.4,0.053,7,0.857,11,0.364,22,0.273,0.394,0.443,1.9,1.6,6.7,0.1,1.2,0.18,0,0.12,2,84.4,102.1
175,Serge Ibaka,Tor,PF,28,10,26,54.1,16.5,0.164,22,0.818,48,0.438,24,0.375,0.479,0.533,8.7,5.9,12.8,1.1,5.8,0.1,1.3,1.6,5.9,97.2,111.3
176,Shabazz Muhammad,Mil,SF,25,4,7.2,14.9,38.4,0.083,5,0.6,15,0.333,5,0.8,0.55,0.563,6.3,1,8.2,0,0,0.5,0.25,0.5,0,93.7,103.4
177,Shabazz Napier,Por,PG,26,2,17.5,36.5,22.4,0.336,2,0.5,7,0.714,4,0,0.455,0.463,5.5,1,3.1,1.5,12.7,1.5,0,3,4.6,68.3,114.9
178,Shane Larkin,Bos,PG,25,11,14,29.2,12.6,0.139,5,1,22,0.545,13,0.308,0.514,0.551,3.7,1,3.9,1.8,19.1,0.45,0,0.55,5.4,100,101.1
179,Shaun Livingston,Gol,PG,32,21,17.2,35.9,16.7,0.117,25,0.88,109,0.541,1,0,0.536,0.579,6.7,2.3,7.4,1.5,11.9,0.33,0.05,0.76,6.6,100.4,100
180,Solomon Hill,Nor,SF,26,9,12.7,26.4,13.4,0.169,10,0.9,9,0.333,16,0.375,0.48,0.561,3.7,1.9,8,0.8,7.7,0.11,0.11,0.67,5.6,104.5,98.8
181,Stephen Curry,Gol,PG,29,15,37,77.1,29.2,0.117,47,0.957,142,0.514,162,0.395,0.556,0.59,25.5,6.1,9.1,5.4,23,1.73,0.73,2.87,10.2,96.1,99.4
182,Sterling Brown,Mil,SG,22,3,4.2,8.7,18.2,0,0,0,2,1,3,0.333,0.7,0.7,2.3,0.7,9.4,0,0,0.33,0,0,0,137.2,94.1
